passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
1,0.566666,1.63999998569489,46.5,0,47.5,1,BX39,BK79
21,1.628052,27.5399994850159,108,0,123.5,11,BX07,BX28
11,2.518608,72.9300012588501,217,5.32999992370605,244.080001831055,7,QN07,JFK
8,1.018610,15.1700004339218,58,5.32999992370605,78.2799987792969,3,QN52,MN15
258,38.621336,677.019995927811,2418.5,0,2672.64000320435,137,MN04,BX30
141,37.921637,843.450006127357,2661.5,68.7599992752075,3117.67000961304,79,MN22,QN97
18,7.320550,172.689999580383,526,58.6299991607666,667.470016479492,14,MN11,QN52
5,0.433333,14.8599996566772,41,0,42,1,BX40,MN25
2,1.050000,18.8700008392334,62,0,63,1,BX34,BK50
1257200,368989.975100,7001565.06017916,23073390.1600127,3349319.36803694,30197716.2593312,691839,LGA,MN17
1643,217.987678,3748.34999683499,13765.5,61.3199996948242,15756.2200098038,949,BK33,BK34
6,0.810554,18.0199999809265,60.5,0,67.6000003814697,4,BX31,BX55
29,4.050547,54.1799998283386,230.5,0,247.5,20,BX14,BX75
3,0.757220,15.0099997520447,51.5,0,57.2999992370605,3,NYS,BX49
2,0.485833,8.69999980926514,52,5.32999992370605,57.8300018310547,1,QN19,MN21
710,221.248456,4806.39000880718,14940,122.589998245239,16991.5400085449,396,MN34,BK37
18,4.537495,135.329999923706,386.5,0,404.400001525879,10,QN27,QN33
8,3.064720,82.8099999427795,280.5,0,287.120000839233,4,NYS,BK38
6,1.623331,29.8000001907349,98,0,107.799999237061,4,BK79,BK41
175,54.746346,1540.31999969482,4535,235.659999847412,5307.30003738403,102,MN32,QN42
9,1.978885,56.9299998283386,173.5,0,189.60000038147,8,BX29,BX08
2,0.889722,22.7000007629395,66,4.80000019073486,71.3000030517578,1,MN35,BK27
359,86.593536,2163.59999677539,6608,0,7445.96998977661,197,MN01,MN23
7,1.482498,15.4399998188019,71.5,0,85.7999992370605,4,QN96,QN68
